game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
3,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,,,0.0,40.0,5.0,0.0,9.0
5,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,,1.0,103.0,6.0,,
12,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,,,0.0,13.0,4.0,,
15,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,1.0,,1.0,16.0,3.0,,
17,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,0.0,32.0,3.0,0.0,6.0
24,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,,,0.0,4.0,2.0,,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,1.0,0.0,20.0,2.0,0.0,2.0
32,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,,,0.0,3.0,1.0,,
34,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,0.0,26.0,4.0,,
38,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,,,0.0,8.0,3.0,0.0,4.0
42,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,,,1.0,56.0,5.0,0.0,7.0
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,0.0,34.0,3.0,,
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,,0.0,0.0,0.0,,
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,0.0,13.0,1.0,,
61,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,,0.0,-1.0,1.0,,
64,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,0.0,40.0,4.0,0.0,-3.0
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,1.0,0.0,42.0,2.0,0.0,-4.0
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,,0.0,13.0,1.0,,
72,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,0.0,20.0,3.0,,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,0.0,8.0,1.0,,
