game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,,,,,,,,,,24.0,5.0,60.0,,,,,,,,,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,,,,,,,,,,19.0,3.0,33.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,,,,,,,,,,20.0,1.0,20.0,,,,,,,,,,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,,,,,,,5.0,1.0,1.0,,5.0,5.0,24.0,4.0,56.0,1.0,3.0,3.0,,,,,,,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,,32.0,9.0,11.0,1.0,18.0,93.0,34.0,1.0,34.0,1.0,-2.0,-2.0,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,,,,,,2.0,6.0,1.0,21.0,21.0,17.0,1.0,17.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_7_25_TOR@EDM,2019-07-25,2019,1,CFL,TOR,EDM,1.0,1.0,,,,,15.0,1.0,3.0,,3.0,15.0,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,,,0.0,21.0,2.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W7_MTL,2022-07-21,2022,7,CFL,MTL,OTT,,,,0.0,8.0,1.0,,,,,,,,,,,,,0.0,6.0,,,,,
SYNTHETIC_CFL_2022_W8_MTL,2022-07-28,2022,8,CFL,MTL,HAM,,,,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W3_MTL,2023-06-23,2023,3,CFL,MTL,HAM,,,,0.0,12.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W4_MTL,2023-07-01,2023,4,CFL,WPG,MTL,,,,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W8_MTL,2023-07-30,2023,8,CFL,CGY,MTL,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W9_MTL,2023-08-05,2023,9,CFL,MTL,HAM,,,,0.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W10_MTL,2023-08-11,2023,10,CFL,SSK,MTL,,,,0.0,-2.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W12_MTL,2023-08-24,2023,12,CFL,MTL,WPG,,,0.0,0.0,15.0,1.0,,,,,,,,,,,,,,,0.0,,,,1.0
SYNTHETIC_CFL_2023_W14_MTL,2023-09-09,2023,14,CFL,MTL,TOR,,,,0.0,59.0,4.0,,,,,,,,,,,,,,,,,,,
