game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,punt_no,punt_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,3.0,5.0,51.0,12.0,44.0,1767.0,1.0,2.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,2.0,3.0,45.0,11.0,26.0,928.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,4.0,7.0,48.0,12.0,28.0,921.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,3.0,36.0,9.0,19.0,723.0,,
