game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,3.0,1.0,20.0,17.0,3.0,1.0,,17.0,,258.0,-7.0
2023-05-12-POR-LA,2023-05-12,2023,3,,POR,LA,2.0,,20.0,18.0,2.0,2.0,,18.0,,149.0,106.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,1.0,,17.0,12.0,4.0,1.0,1.0,12.0,2.0,175.0,10.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,,1.0,,,,,,,,,
2023-06-03-LA-SD,2023-06-03,2023,6,,LA,SD,6.0,3.0,20.0,15.0,2.0,,,18.0,3.0,350.0,99.0
2023-06-09-LA-POR,2023-06-09,2023,7,,LA,POR,2.0,2.0,34.0,23.0,9.0,1.0,1.0,24.0,,349.0,112.0
2023-06-18-SEA-LA,2023-06-18,2023,8,,SEA,LA,1.0,1.0,23.0,18.0,4.0,5.0,1.0,19.0,1.0,270.0,175.0
2023-06-24-SD-LA,2023-06-24,2023,9,,SD,LA,2.0,,29.0,26.0,3.0,2.0,1.0,28.0,2.0,359.0,134.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,4.0,1.0,25.0,25.0,1.0,4.0,,26.0,1.0,290.0,46.0
2023-07-15-LA-OAK,2023-07-15,2023,12,,LA,OAK,6.0,2.0,21.0,19.0,2.0,,2.0,21.0,2.0,218.0,118.0
2023-07-21-OAK-LA,2023-07-21,2023,13,,OAK,LA,2.0,1.0,31.0,25.0,5.0,1.0,4.0,27.0,2.0,305.0,223.0
