game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_td,kr_yds,recv_rec,recv_td,recv_tgt,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,3.0,9.0,2.0,1.0,114.0,7.0,1.0,,65.0,72.0,2.0,277.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,10.0,11.0,12.0,,275.0,2.0,,,16.0,33.0,2.0,168.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,7.0,6.0,2.0,,39.0,5.0,1.0,,104.0,30.0,3.0,263.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,11.0,,,,16.0,2.0,,183.0,127.0,6.0,875.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,,,,30.0,1.0,,273.0,176.0,11.0,1082.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,1.0,,,,1.0,,2.0,8.0,17.0,1.0,138.0
