game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W2_MICH,,2022,2,USFL,,,,,0.0,4.0,1.0,0.0,21.0
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,,,,,,1.0,133.0
SYNTHETIC_USFL_2022_W4_MICH,,2022,4,USFL,,,,,0.0,8.0,1.0,1.0,154.0
SYNTHETIC_USFL_2022_W5_MICH,,2022,5,USFL,,,,0.0,0.0,14.0,1.0,0.0,28.0
SYNTHETIC_USFL_2022_W6_MICH,,2022,6,USFL,,,,,0.0,6.0,1.0,0.0,71.0
SYNTHETIC_USFL_2022_W7_MICH,,2022,7,USFL,,,0.0,,,,,0.0,108.0
SYNTHETIC_USFL_2022_W8_MICH,,2022,8,USFL,,,,,,,,0.0,-2.0
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,0.0,0.0,19.0,2.0,0.0,5.0
SYNTHETIC_USFL_2023_W1_PANTHERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,,0.0,19.0,4.0,0.0,29.0
SYNTHETIC_USFL_2023_W5_PANTHERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,1.0,0.0,3.0,1.0,0.0,11.0
SYNTHETIC_USFL_2023_W6_PANTHERS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,0.0,24.0,3.0,0.0,28.0
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,,1.0,,13.0,,,3.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,0.0,9.0,3.0,2.0,131.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,0.0,27.0,5.0,0.0,38.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,0.0,3.0,3.0,0.0,53.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,0.0,22.0,3.0,0.0,78.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,0.0,9.0,1.0,0.0,24.0
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,0.0,19.0,2.0,0.0,45.0
