game_id,date,season,week,league,away,home,assisted_tackles,fumbles,fumbles_lost,interceptions,pass_attempts,pass_completions,pass_long,pass_td,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,,,,0.0,30.0,19.0,24.0,,3.0,153.0,,,,,,,2.3,12.0,15.0,0.0,35.0,,,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,,1.0,1.0,1.0,16.0,13.0,46.0,,2.0,142.0,,,,,,,4.5,13.0,8.0,3.0,36.0,,,,
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,,,,0.0,11.0,9.0,37.0,,4.0,97.0,,,,,,,2.2,5.0,6.0,1.0,13.0,,,,
FOOTBALL_IFL_2026_6_6_TTULSAOILERSG20260606EDGN@TFISHERSFREIGHT,2026-06-06,2026,13,IFL,Tulsa Oilers,Fishers Freight,0.0,,,2.0,25.0,14.0,22.0,,3.0,140.0,,,,,,,5.0,20.0,10.0,1.0,50.0,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,,1.0,0.0,1.0,25.0,17.0,30.0,,5.0,179.0,,,,,,,3.0,13.0,8.0,1.0,24.0,,,,
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,,,,0.0,11.0,8.0,31.0,,3.0,89.0,,,,,,,4.5,13.0,11.0,1.0,50.0,,,,
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,0.0,,,3.0,17.0,10.0,25.0,,3.0,106.0,,,,,,,4.3,10.0,6.0,0.0,26.0,1.0,1.0,,
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,,,,0.0,23.0,18.0,23.0,,6.0,182.0,,,,,,,6.6,14.0,7.0,1.0,46.0,,,,
FOOTBALL_IFL_2026_7_18_TQUADCITYSTEAMWHEELERSG20260718WOHW@TTULSAOILERS,2026-07-18,2026,19,IFL,Quad City Steamwheelers,Tulsa Oilers,,,,0.0,9.0,4.0,22.0,,2.0,61.0,,,,,,,1.0,8.0,5.0,1.0,5.0,,,,
FOOTBALL_IFL_2026_7_25_TTULSAOILERSG20260725MK7L@TQUADCITYSTEAMWHEELERS,2026-07-25,2026,20,IFL,Tulsa Oilers,Quad City Steamwheelers,,,,0.0,22.0,15.0,45.0,,6.0,238.0,,,,,,,8.8,12.0,4.0,2.0,35.0,,,,
