game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_yards
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,STL,SEA,,,,6.0,2.0,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,STL,DC,,,1.0,17.0,3.0,
SYNTHETIC_XFL_2023_W3_BATTLEHAWKS,,2023,3,XFL,,,0.0,1.0,,,,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,ARL,STL,,,,19.0,1.0,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,1.0,50.0,1.0,
SYNTHETIC_XFL_2023_W5_BATTLEHAWKS,,2023,5,XFL,,,0.0,1.0,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,6.0,1.0,
SYNTHETIC_XFL_2023_W6_BATTLEHAWKS,,2023,6,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,10.0,2.0,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,7.0,1.0,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,,4.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,2.0,72.0,4.0,
SYNTHETIC_XFL_2023_W10_BATTLEHAWKS,,2023,10,XFL,,,0.0,1.0,,,,
SYNTHETIC_UFL_2024_W6_BATTLEHAWKS,,2024,6,UFL,,,,,1.0,35.0,4.0,
SYNTHETIC_UFL_2024_W7_BATTLEHAWKS,,2024,7,UFL,,,,,,21.0,3.0,
SYNTHETIC_UFL_2024_W9_BATTLEHAWKS,,2024,9,UFL,,,,,,46.0,4.0,
SYNTHETIC_UFL_2024_W10_BATTLEHAWKS,,2024,10,UFL,,,,,1.0,22.0,1.0,
