game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,3.0,1.0,,1.0,12.5,58.0,10.0,1.0,1.0,4.0,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,4.0,1.0,1.0,4.0,16.0,58.0,12.0,,,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,,,15.0,32.0,11.0,,,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,2.0,,1.0,16.5,52.0,12.0,,,,1.0,1.0,1.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,,,1.0,12.0,43.0,12.0,,,,,,
