game_id,date,season,week,league,away,home,assisted_tackles,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_IFL_2026_8_2_T3ARIZONARATTLERSG20260802OJNP@T2VEGASKNIGHTHAWKS,2026-08-02,2026,,IFL,#3 Arizona Rattlers,#2 Vegas Knight Hawks,,,,,,,,,,,,2.5,5.0,2.0,1.0,5.0,,
FOOTBALL_IFL_2026_7_5_TVEGASKNIGHTHAWKSG20260705XNDJ@TNEWMEXICOCHUPACABRAS,2026-07-05,2026,17,IFL,Vegas Knight Hawks,New Mexico Chupacabras,,1.0,2.0,2.0,0.0,2.0,10.0,25.0,1.0,30.0,3.0,3.2,9.0,6.0,0.0,19.0,,
FOOTBALL_IFL_2026_7_12_TSANDIEGOSTRIKEFORCEG20260712LE28@TVEGASKNIGHTHAWKS,2026-07-12,2026,18,IFL,San Diego Strike Force,Vegas Knight Hawks,,1.0,12.0,12.0,0.0,12.0,15.0,15.0,0.0,15.0,1.0,7.0,9.0,2.0,0.0,14.0,,
FOOTBALL_IFL_2026_7_25_TNAZWRANGLERSG20260725S86X@TVEGASKNIGHTHAWKS,2026-07-25,2026,20,IFL,NAZ Wranglers,Vegas Knight Hawks,0.0,2.0,31.0,35.0,0.0,62.0,9.5,12.0,0.0,19.0,2.0,4.1,7.0,7.0,1.0,29.0,1.0,1.0
