game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,14.0,33.0,329.0,171.0,14.0,5.0,1050.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,12.0,16.0,114.0,193.0,12.0,3.0,1176.0
