game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,recv_td,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_UFL_2026_5_9_LOU@DC,2026-05-09,2026,7,UFL,LOU,DC,,,,,,,,,,,,,2.0,,,,,,
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,0.0,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,,,,,,,,3.0,3.0,0.0,3.0,1.0,,,,,,,
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,1.0,,,,,,,17.0,31.0,1.0,51.0,3.0,,,,1.0,2.0,,
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,,,,,,,,15.0,15.0,0.0,15.0,1.0,,,,,,,
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,1.0,,,,,,,11.2,23.0,2.0,56.0,5.0,,,,1.0,2.0,,
FOOTBALL_IFL_2026_7_18_TQUADCITYSTEAMWHEELERSG20260718WOHW@TTULSAOILERS,2026-07-18,2026,19,IFL,Quad City Steamwheelers,Tulsa Oilers,0.0,,,,,,,17.0,17.0,0.0,17.0,1.0,,,,1.0,1.0,,
FOOTBALL_IFL_2026_7_25_TTULSAOILERSG20260725MK7L@TQUADCITYSTEAMWHEELERS,2026-07-25,2026,20,IFL,Tulsa Oilers,Quad City Steamwheelers,1.0,,,,,,,24.0,45.0,2.0,48.0,2.0,,,,0.0,1.0,,
