game_id,date,season,week,league,away,home,def_ff,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pass_att,pr_no,pr_td,pr_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,,9.0,4.0,,,,,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,3.0,1.0,48.0,10.0,1.0,27.0,1.0,4.0,1.0,113.0,2.0,43.0
