game_id,date,season,week,league,away,home,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,7.0,2.0,,44.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,19.0,18.0,3.0,39.0
