game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
SYNTHETIC_USFL_2022_W2_PIT,,2022,2,USFL,,,0.0,27.0,3.0,
SYNTHETIC_USFL_2022_W3_PIT,,2022,3,USFL,,,0.0,58.0,5.0,
SYNTHETIC_USFL_2022_W4_PIT,,2022,4,USFL,,,0.0,110.0,9.0,
SYNTHETIC_USFL_2022_W5_PIT,,2022,5,USFL,,,0.0,92.0,10.0,
SYNTHETIC_USFL_2022_W6_PIT,,2022,6,USFL,,,0.0,31.0,2.0,
SYNTHETIC_USFL_2022_W8_PIT,,2022,8,USFL,,,0.0,7.0,1.0,
SYNTHETIC_USFL_2022_W9_PIT,,2022,9,USFL,,,1.0,30.0,2.0,
SYNTHETIC_USFL_2022_W10_PIT,,2022,10,USFL,,,0.0,7.0,1.0,
SYNTHETIC_USFL_2023_W1_MAULERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,42.0,3.0,
SYNTHETIC_USFL_2023_W2_MAULERS,2023-04-23,2023,2,USFL,MAULERS,GENERALS,0.0,0.0,0.0,
SYNTHETIC_USFL_2023_W4_MAULERS,2023-05-07,2023,4,USFL,MAULERS,STALLIONS,,41.0,3.0,
SYNTHETIC_USFL_2023_W5_MAULERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,7.0,1.0,11.0
SYNTHETIC_USFL_2023_W6_MAULERS,2023-05-20,2023,6,USFL,SHOWBOATS,MAULERS,,21.0,3.0,3.0
SYNTHETIC_USFL_2023_W9_MAULERS,2023-06-10,2023,9,USFL,MAULERS,PANTHERS,,66.0,3.0,3.0
SYNTHETIC_USFL_2023_W10_MAULERS,2023-06-17,2023,10,USFL,GENERALS,MAULERS,,23.0,2.0,
SYNTHETIC_USFL_2023_W11_MAULERS,,2023,11,USFL,,,,6.0,2.0,
SYNTHETIC_USFL_2023_W12_MAULERS,,2023,12,USFL,,,,18.0,2.0,
