game_id,date,season,week,league,away,home,kick_returns,kr_long,kr_yards,receiving_yards,receptions,rush_attempts,rushing_yards,targets
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,1.0,21.0,21.0,3.0,1.0,4.0,5.0,
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,1.0,14.0,14.0,26.0,3.0,12.0,52.0,3.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,4.0,28.0,92.0,7.0,2.0,8.0,40.0,
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,,,,32.0,3.0,7.0,34.0,1.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,,,,,15.0,37.0,
