game_id,date,season,week,league,away,home,conversions,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_MICH,,2022,1,USFL,,,0.0,,0.0,5.0,1.0,1.0,72.0
SYNTHETIC_USFL_2022_W2_MICH,,2022,2,USFL,,,,,0.0,0.0,0.0,0.0,25.0
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,,,,,,1.0,54.0
SYNTHETIC_USFL_2022_W4_MICH,,2022,4,USFL,,,2.0,,0.0,1.0,1.0,0.0,7.0
SYNTHETIC_USFL_2022_W5_MICH,,2022,5,USFL,,,,,0.0,0.0,0.0,0.0,7.0
SYNTHETIC_USFL_2022_W6_MICH,,2022,6,USFL,,,,,,,,0.0,10.0
SYNTHETIC_USFL_2022_W7_MICH,,2022,7,USFL,,,,,0.0,3.0,1.0,1.0,25.0
SYNTHETIC_USFL_2022_W8_MICH,,2022,8,USFL,,,,,0.0,19.0,2.0,0.0,29.0
SYNTHETIC_USFL_2022_W9_MICH,,2022,9,USFL,,,,,0.0,12.0,1.0,0.0,36.0
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,,0.0,66.0,3.0,0.0,44.0
SYNTHETIC_USFL_2023_W1_PANTHERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,,,13.0,1.0,1.0,61.0
SYNTHETIC_USFL_2023_W5_PANTHERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,,,14.0,2.0,0.0,-6.0
SYNTHETIC_USFL_2023_W6_PANTHERS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,0.0,1.0,1.0,0.0,46.0
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,,,,31.0,,,2.0
11824053,2025-06-19,2025,3,CFL,MTL,EDM,,,,11.0,2.0,,17.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,,,,0.0,15.0
11824058,2025-06-27,2025,4,CFL,MTL,HAM,,,,,,,2.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,9.0,,,2.0,0.0,63.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,,,0.0,66.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,,,0.0,13.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,,,,0.0,12.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,,,,0.0,25.0
11824087,2025-08-16,2025,11,CFL,MTL,BC,,,,-2.0,1.0,,23.0
11824088,2025-08-21,2025,12,CFL,WPG,MTL,,,,,,,18.0
11824102,2025-09-13,2025,15,CFL,MTL,SSK,,,,,,,125.0
11824103,2025-09-19,2025,16,CFL,MTL,TOR,,,,19.0,2.0,,54.0
11824107,2025-09-26,2025,17,CFL,CGY,MTL,,,,8.0,1.0,,55.0
11824117,2025-10-13,2025,19,CFL,OTT,MTL,,,,17.0,3.0,,30.0
11824120,2025-10-18,2025,20,CFL,MTL,OTT,,,,52.0,5.0,1.0,63.0
11824124,2025-10-25,2025,21,CFL,MTL,WPG,,,,11.0,1.0,,31.0
