game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,2.0,,10.0,32.0,21.0,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,13.0,7.0,7.0,18.0,11.0,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,10.0,,,39.0,1490.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,12.0,,,42.0,1729.0,1.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,9.0,,,36.0,1480.0,2.0
