game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,plus_minus,points,rebounds,steals,turnovers
WNBA_202105150SEA,2021-05-15,2021,1,WNBA,LVA,SEA,,,,,,,,,,,,,,3.2,2.0,,,,
WNBA_202105180SEA,2021-05-18,2021,1,WNBA,LVA,SEA,,,,1.0,,,1.0,,,,,,,5.033333333333333,-4.0,,,1.0,
WNBA_202105280SEA,2021-05-28,2021,1,WNBA,MIN,SEA,,1.0,,2.0,,,2.0,,2.0,,,,,5.833333333333333,-13.0,,1.0,,1.0
WNBA_202106010SEA,2021-06-01,2021,1,WNBA,IND,SEA,,,,,,,,,1.0,,,,,0.9333333333333333,,,,,
WNBA_202106090ATL,2021-06-09,2021,1,WNBA,SEA,ATL,,2.0,,1.0,,,1.0,,,,,,,1.8666666666666667,,,2.0,,
WNBA_202106110ATL,2021-06-11,2021,1,WNBA,SEA,ATL,,,,,,,1.0,,,,,,,1.4166666666666667,-5.0,,,,
WNBA_202106130CON,2021-06-13,2021,1,WNBA,SEA,CON,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,,1.0,1.0,1.0,,4.383333333333334,-1.0,4.0,1.0,,
WNBA_202106150IND,2021-06-15,2021,1,WNBA,SEA,IND,,,,,,,,,,,,,,1.5333333333333332,-2.0,,,,
WNBA_202108150CHI,2021-08-15,2021,1,WNBA,SEA,CHI,,,,,,,,,,,,,,7.066666666666666,-8.0,,,,
WNBA_202108180NYL,2021-08-18,2021,1,WNBA,SEA,NYL,,,,,,,,,,,,,,3.75,-2.0,,,,1.0
WNBA_202205270SEA,2022-05-27,2022,1,WNBA,NYL,SEA,2.0,,,,,,,,,,,,,3.9833333333333334,8.0,,,,
WNBA_202205290SEA,2022-05-29,2022,1,WNBA,NYL,SEA,3.0,2.0,0.25,4.0,1.0,0.286,7.0,2.0,1.0,,,,,14.05,11.0,5.0,2.0,,1.0
WNBA_202206030SEA,2022-06-03,2022,1,WNBA,DAL,SEA,,,,,,,1.0,,,,,,,8.466666666666667,-5.0,,,,1.0
WNBA_202208020CON,2022-08-02,2022,1,WNBA,PHO,CON,,,,,,,,,,,,,,2.8333333333333335,-1.0,,,,
WNBA_202405140SEA,2024-05-14,2024,1,WNBA,MIN,SEA,,,,,,,2.0,,1.0,,,,,4.183333333333334,1.0,,,,1.0
WNBA_202405170MIN,2024-05-17,2024,1,WNBA,SEA,MIN,,,,,,1.0,1.0,1.0,,,,,,3.216666666666667,-4.0,2.0,,,1.0
WNBA_202405190WAS,2024-05-19,2024,1,WNBA,SEA,WAS,,,,1.0,,,1.0,,,,,,,2.5166666666666666,2.0,,,,
WNBA_202405200NYL,2024-05-20,2024,1,WNBA,SEA,NYL,,,,1.0,,,1.0,,,,,,,1.7166666666666668,3.0,,,,
WNBA_202405250SEA,2024-05-25,2024,1,WNBA,WAS,SEA,1.0,,,1.0,,,2.0,,1.0,,,,,10.583333333333334,10.0,,,,
WNBA_202405300IND,2024-05-30,2024,1,WNBA,SEA,IND,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.1,1.0,3.0,,,
WNBA_202406040SEA,2024-06-04,2024,1,WNBA,PHO,SEA,,,1.0,1.0,1.0,0.5,2.0,1.0,,,,,,1.45,-1.0,3.0,,,
WNBA_202406090MIN,2024-06-09,2024,1,WNBA,SEA,MIN,,,,,,,1.0,,,,,,,1.2,-2.0,,,,
WNBA_202406110SEA,2024-06-11,2024,1,WNBA,LAS,SEA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.7,1.0,3.0,,,
WNBA_202406270SEA,2024-06-27,2024,1,WNBA,IND,SEA,,,,1.0,,,1.0,,,,,,,0.85,-4.0,,,,
WNBA_202406290SEA,2024-06-29,2024,1,WNBA,DAL,SEA,,,,,,,,,,,,,,3.783333333333333,1.0,,,,
