game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,11.0,284.0,175.0,12.0,17.0,1969.0,1.0,12.0,61.0,3.0,256.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,6.0,194.0,125.0,5.0,23.0,2118.0,1.0,4.0,22.0,,117.0
