game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pr,score_pts,score_tot
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,5.0,6.0,1.0,54.0,98.0,30.0,4.0,,91.0,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,3.0,5.0,1.0,2.0,26.0,38.0,5.0,,95.0,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,4.0,5.0,2.0,53.0,116.0,55.0,5.0,,130.0,,,,1.0,2.0,,14.0,2.0
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,21.0,6.0,8.0,,49.0,54.0,47.0,4.0,,99.0,,,,,,,,
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,6.0,6.0,2.0,22.0,41.0,6.0,2.0,,7.0,,,,,2.0,,12.0,2.0
FOOTBALL_CFL_2018_11_25_OTT@CGY,2018-11-25,2018,1,CFL,OTT,CGY,15.0,3.0,6.0,,19.0,31.0,18.0,1.0,,32.0,,,,,,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,6.0,9.0,1.0,29.0,82.0,21.0,1.0,,21.0,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2018_6_28_OTT@CGY,2018-06-28,2018,1,CFL,OTT,CGY,6.0,3.0,6.0,,4.0,11.0,21.0,2.0,,40.0,,,,,,,,
FOOTBALL_CFL_2018_7_12_CGY@OTT,2018-07-12,2018,1,CFL,CGY,OTT,12.0,4.0,8.0,,6.0,26.0,22.0,2.0,,44.0,,,,,,,,
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,23.0,4.0,8.0,,4.0,38.0,46.0,3.0,,94.0,,,,,,,,
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,8.0,4.0,4.0,,18.0,18.0,28.0,1.0,,28.0,,,,,,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,11.0,3.0,7.0,,23.0,29.0,16.0,1.0,,16.0,1.0,-5.0,-5.0,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,19.0,6.0,9.0,,42.0,74.0,13.0,2.0,,10.0,,,,,,,,
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,12.0,6.0,8.0,,10.0,27.0,27.0,4.0,,80.0,,,,1.0,,,2.0,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,43.0,8.0,11.0,1.0,49.0,145.0,87.0,3.0,1.0,104.0,,,,,1.0,1.0,12.0,2.0
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,25.0,3.0,6.0,,12.0,34.0,11.0,7.0,,50.0,,,,,,,,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,64.0,8.0,8.0,1.0,44.0,110.0,25.0,4.0,,83.0,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,40.0,4.0,4.0,,18.0,89.0,24.0,2.0,,41.0,,,,,,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,12.0,4.0,6.0,,7.0,30.0,27.0,3.0,,70.0,1.0,-5.0,-5.0,,,,,
