game_id,date,season,week,league,away,home,missed,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,1.0,4.0,1.0
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,,13.0,1.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,,10.0,2.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,17.0,1.0
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,1.0,16.0,1.0
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,14.0,1.0
SYNTHETIC_XFL_2023_W7_RENEGADES,2023-03-31,2023,7,XFL,RENEGADES,SEA DRAGONS,0.0,,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,62.0,2.0
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,22.0,2.0
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,0.0,0.0,0.0
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,0.0,12.0,1.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,0.0,12.0,2.0
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,0.0,4.0,1.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,0.0,0.0,0.0
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,0.0,0.0,0.0
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,0.0,0.0,0.0
