game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
cricket-bbl-2021-12-07-1269640,2021-12-07,2021,1,BBL,Melbourne Renegades,Adelaide Strikers,14.0,1.0,0.0,4.0,23.0,2.0,,,,,,,1.0
cricket-bbl-2021-12-09-1269643,2021-12-09,2021,1,BBL,Adelaide Strikers,Melbourne Renegades,13.0,0.0,0.0,3.0,10.0,1.0,,,,,,,1.0
cricket-bbl-2021-12-13-1269648,2021-12-13,2021,1,BBL,Melbourne Renegades,Brisbane Heat,11.0,0.0,0.0,5.0,8.0,0.0,,,,,,,1.0
cricket-bbl-2022-01-03-1269670,2022-01-03,2022,1,BBL,Melbourne Stars,Melbourne Renegades,14.0,2.0,1.0,7.0,17.0,0.0,,,,,,,1.0
cricket-bbl-2022-01-06-1269674,2022-01-06,2022,1,BBL,Brisbane Heat,Melbourne Renegades,1.0,0.0,1.0,7.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0
cricket-bbl-2022-01-08-1269677,2022-01-08,2022,1,BBL,Sydney Thunder,Melbourne Renegades,23.0,3.0,0.0,6.0,25.0,0.0,,,,,,,1.0
cricket-bbl-2022-01-18-1269691,2022-01-18,2022,1,BBL,Hobart Hurricanes,Melbourne Renegades,13.0,4.0,0.0,1.0,24.0,1.0,18.0,0.0,0.0,18.0,0.0,0.0,1.0
cricket-bbl-2022-01-19-1269694,2022-01-19,2022,1,BBL,Sydney Thunder,Melbourne Renegades,2.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0
cricket-bbl-2022-12-26-1324638,2022-12-26,2022,1,BBL,Melbourne Stars,Sydney Sixers,5.0,1.0,0.0,2.0,6.0,0.0,,,,,,,1.0
cricket-bbl-2023-01-09-1324658,2023-01-09,2023,1,BBL,Melbourne Stars,Hobart Hurricanes,7.0,3.0,0.0,6.0,20.0,1.0,,,,,,,1.0
cricket-bbl-2023-01-14-1324664,2023-01-14,2023,1,BBL,Melbourne Renegades,Melbourne Stars,7.0,0.0,0.0,6.0,3.0,0.0,,,,,,,1.0
cricket-bbl-2023-01-16-1324667,2023-01-16,2023,1,BBL,Melbourne Stars,Brisbane Heat,6.0,0.0,0.0,7.0,13.0,2.0,,,,,,,1.0
