game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,5.0,,,11.0,1.0,,25.0,,6.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,12.0,,,18.0,8.0,,49.0,,20.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,9.0,,,11.0,10.0,,13.0,,19.0,2.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,13.0,,,17.0,8.0,,30.0,,21.0,,,
703331825,2025-10-29,2025,1,NLL,GEORGIA,BUFFALO,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0
