game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,,,-3.0,1.0,1.0,,-3.0,-3.0,,1.0,,1.0,3.0,,3.0,,,,,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,15.0,3.0,4.0,,28.0,31.0,21.0,1.0,21.0,5.0,6.0,,13.0,,,,1.0,,2.0,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,15.0,5.0,6.0,,46.0,48.0,,,,20.0,16.0,,88.0,,,,,,,,,
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,,,,,,,,,,,,,,11.0,15.0,,55.0,,,,,,,,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,,12.0,5.0,8.0,,21.0,31.0,,,,8.0,14.0,,41.0,,,,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,18.0,5.0,5.0,,56.0,66.0,,,,14.0,29.0,,74.0,,,,,,,,,
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,,,,,,,,,,,,3.0,8.0,,11.0,,,,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,,,,,,,,,,21.0,3.0,55.0,2.0,10.0,,16.0,,,,,,,,,
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,,,,,,,,,29.0,2.0,46.0,1.0,1.0,,1.0,,,,,,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,,,,6.0,3.0,3.0,,4.0,4.0,,,,2.0,5.0,,,,,,,,,,,
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,,,20.0,5.0,5.0,,45.0,45.0,,,,7.0,6.0,,23.0,,,,,,,,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,,,,4.0,5.0,1.0,58.0,60.0,,,,4.0,15.0,,30.0,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,,,16.0,3.0,3.0,,27.0,29.0,,,,12.0,11.0,,67.0,,,,,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,,,59.0,4.0,4.0,,96.0,99.0,,,,3.0,14.0,,24.0,,,,,,,,,
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,,,,,,,,,,,,,,3.0,9.0,,15.0,,,,,,,,,
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,,,,,,,,,,,,3.0,5.0,,8.0,,,,,,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,10.0,4.0,4.0,,21.0,25.0,,,,7.0,,1.0,77.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,10.0,2.0,2.0,,14.0,14.0,,,,2.0,9.0,,15.0,,,,,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,,,9.0,1.0,2.0,,9.0,9.0,,,,7.0,42.0,,64.0,,,,,,,,,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,,,,8.0,1.0,1.0,,8.0,8.0,,,,3.0,3.0,,5.0,,,,,,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,5.0,1.0,1.0,,5.0,5.0,,,,2.0,4.0,,6.0,,,,,,,,,
