game_id,date,season,week,league,away,home,def_tackles,gp,punt_no,punt_yds,recv_rec,recv_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,7.0,,,2.0,16.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,,,1.0,4.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,10.0,6.0,144.0,20.0,117.0,2.0
