game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,10.0,16.0,277.0,,,26.0,2.0,329.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,3.0,12.0,9.0,123.0,8.0,79.0,81.0,3.0,616.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,12.0,,,,,33.0,1.0,217.0
