game_id,date,season,week,league,away,home,award_mvp
FOOTBALL_XLEAGUE_1998_SEASON_TOTAL,,1998,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_1999_SEASON_TOTAL,,1999,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2008_SEASON_TOTAL,,2008,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2019_SEASON_TOTAL,,2019,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2021_SEASON_TOTAL,,2021,1,XLEAGUE,,,1.0
