game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,,,,2.0,,,4.0,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,3.0,,,15.0,1.0,,41.0,,4.0,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,3.0,,,14.0,,,8.0,,3.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,3.0,,,18.0,1.0,,14.0,,4.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
