game_id,date,season,week,league,away,home,assist_tackles,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,pr_fc,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_attempts,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_r,score_tot,solo_tackles,targets
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,,,,,,,,,,,,,,17.0,3.0,3.0,,25.0,26.0,,,,14.0,,11.0,,46.0,,,,,,,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,,,,,,,,,,,,,,,,,,,,64.0,3.0,103.0,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_10_EDM@OTT,2017-08-10,2017,1,CFL,EDM,OTT,,,,,,,,,,,,,,,,,4.0,4.0,1.0,53.0,56.0,,,,16.0,,17.0,,51.0,,,1.0,6.0,,1.0,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,,,,,,,,,,,,,,,8.0,4.0,4.0,,19.0,20.0,,,,9.0,,11.0,,49.0,,,,,,,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,,,,,,,,,,,,,,-3.0,1.0,2.0,,-3.0,-3.0,,,,9.0,,10.0,1.0,51.0,,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2017_8_4_HAM@EDM,2017-08-04,2017,1,CFL,HAM,EDM,,,,,,,,,,,,,,,,9.0,2.0,2.0,,13.0,17.0,,,,19.0,,24.0,,105.0,,,,,,,,
FOOTBALL_CFL_2017_9_4_EDM@CGY,2017-09-04,2017,1,CFL,EDM,CGY,,,,,,,,,,,,,,,,14.0,5.0,5.0,,28.0,36.0,,,,9.0,,11.0,,37.0,,,,,,,,
FOOTBALL_CFL_2017_9_9_CGY@EDM,2017-09-09,2017,1,CFL,CGY,EDM,,,,,,,,,,,,,,,,9.0,3.0,3.0,,12.0,14.0,,,,9.0,,6.0,,26.0,,,,,,,,
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,,0.0,1.0,1.0,0.0,0.0,,,,,,,0.0,36.0,6.0,,,,,,,,,,,5.0,,,,0.0,13.0,,,,,,8.0
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,,,,,,,,,,,,,0.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,,,,,,,,,,,,1.0,,,,,,,,,,,,,,8.0,,,,0.0,26.0,,,,,,
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,23.0,4.0,,,,,,,,,,,1.0,,,,0.0,3.0,,,,,1.0,4.0
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,,,,,,,,,,,,,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0
