game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,recv_rec,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,10.0,1.0,4.0,12.0,80.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,12.0,,,,
