game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,12.0,1.0,1.0,1.0,31.0,,,115.0,17.0,1561.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,12.0,2.0,2.0,1.0,27.0,2.0,4.0,77.0,7.0,851.0,1.0,2.0
