game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_yds
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,18.0,1.0,18.0
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,24.0,2.0,39.0
