game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pr,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,20.0,1.0,1.0,18.0,20.0,25.0,6.0,,105.0,,,,,,,,
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,,,,,,16.0,5.0,,66.0,,,,,,,,
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,,,-2.0,1.0,1.0,,-2.0,32.0,6.0,,139.0,2.0,3.0,,5.0,,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,,,,,,49.0,6.0,,142.0,,,,,,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,6.0,2.0,4.0,9.0,10.0,16.0,2.0,,31.0,1.0,6.0,,6.0,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,,,,,23.0,4.0,,62.0,,,,,,,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,,,,,,28.0,5.0,,85.0,1.0,4.0,,4.0,,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,17.0,2.0,2.0,19.0,24.0,23.0,4.0,,69.0,9.0,14.0,,45.0,,,,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,2.0,2.0,10.0,2.0,4.0,18.0,19.0,55.0,2.0,,68.0,2.0,2.0,,3.0,,,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,,,29.0,3.0,3.0,41.0,43.0,27.0,4.0,,80.0,2.0,,1.0,6.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,2.0,1.0,2.0,2.0,2.0,25.0,4.0,,76.0,6.0,18.0,,45.0,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,9.0,1.0,3.0,8.0,9.0,27.0,2.0,,43.0,8.0,7.0,,10.0,,,,
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,,8.0,5.0,7.0,15.0,24.0,,5.0,1.0,108.0,6.0,10.0,,26.0,1.0,6.0,,1.0
