game_id,date,season,week,league,away,home,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2022_W1_BC,,2022,1,CFL,,,0.0,59.0,0.0
SYNTHETIC_CFL_2022_W3_BC,,2022,3,CFL,,,2.0,3.0,4.0
SYNTHETIC_CFL_2022_W4_BC,,2022,4,CFL,,,0.0,31.0,2.0
SYNTHETIC_CFL_2022_W5_BC,,2022,5,CFL,,,0.0,43.0,1.0
6235,2022-07-21,2022,7,CFL,HAM,BC,1.0,12.0,1.0
6239,2022-07-29,2022,8,CFL,BC,SSK,1.0,17.0,4.0
6245,2022-08-06,2022,9,CFL,EDM,BC,1.0,14.0,5.0
6248,2022-08-13,2022,10,CFL,BC,CGY,0.0,40.0,0.0
6251,2022-08-19,2022,11,CFL,BC,SSK,3.0,10.0,5.0
6256,2022-08-26,2022,12,CFL,SSK,BC,0.0,0.0,0.0
6262,2022-09-09,2022,14,CFL,BC,MTL,2.0,31.0,2.0
6268,2022-09-17,2022,15,CFL,BC,CGY,0.0,29.0,0.0
6271,2022-09-24,2022,16,CFL,CGY,BC,0.0,25.0,0.0
6273,2022-09-30,2022,17,CFL,OTT,BC,1.0,19.0,2.0
6277,2022-10-08,2022,18,CFL,BC,TOR,0.0,23.0,3.0
6283,2022-10-15,2022,19,CFL,WPG,BC,2.0,32.0,3.0
6285,2022-10-21,2022,20,CFL,BC,EDM,2.0,14.0,1.0
6288,2022-10-28,2022,21,CFL,BC,WPG,0.0,24.0,1.0
9889283,2023-06-08,2023,1,CFL,BC,CGY,1.0,15.0,2.0
9889289,2023-06-17,2023,2,CFL,EDM,BC,,0.0,1.0
9889291,2023-06-22,2023,3,CFL,BC,WPG,1.0,6.0,7.0
9889297,2023-07-03,2023,4,CFL,BC,TOR,,45.0,3.0
9889301,2023-07-09,2023,5,CFL,MTL,BC,,19.0,7.0
9889308,2023-07-22,2023,7,CFL,SSK,BC,,9.0,3.0
9889312,2023-07-29,2023,8,CFL,BC,EDM,,0.0,1.0
9889314,2023-08-03,2023,9,CFL,BC,WPG,,50.0,1.0
