game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W1_BHAM,,,1,USFL,,,,1.0,96.0,5.0
SYNTHETIC_USFL_W2_BHAM,,,2,USFL,,,,1.0,48.0,3.0
SYNTHETIC_USFL_W3_BHAM,,,3,USFL,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W4_BHAM,,,4,USFL,,,,0.0,6.0,1.0
SYNTHETIC_USFL_W5_BHAM,,,5,USFL,,,0.0,0.0,58.0,4.0
SYNTHETIC_USFL_W6_BHAM,,,6,USFL,,,,1.0,63.0,4.0
SYNTHETIC_USFL_W7_BHAM,,,7,USFL,,,,0.0,17.0,2.0
SYNTHETIC_USFL_W8_BHAM,,,8,USFL,,,1.0,0.0,8.0,1.0
SYNTHETIC_USFL_W9_BHAM,,,9,USFL,,,,0.0,17.0,2.0
SYNTHETIC_USFL_W10_BHAM,,,10,USFL,,,,0.0,20.0,1.0
SYNTHETIC_USFL_W11_BHAM,,,11,USFL,,,,1.0,64.0,4.0
SYNTHETIC_USFL_2023_W4_SHOWBOATS,2023-05-06,2023,4,USFL,PANTHERS,SHOWBOATS,,,3.0,1.0
SYNTHETIC_USFL_2023_W9_SHOWBOATS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,,26.0,1.0
SYNTHETIC_USFL_2023_W10_SHOWBOATS,2023-06-17,2023,10,USFL,SHOWBOATS,STALLIONS,,,36.0,3.0
