game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,17.0,,,11.0,8.0,,6.0,,25.0,,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,32.0,,,16.0,16.0,,8.0,,48.0,,,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,20.0,,,16.0,15.0,,4.0,,35.0,1.0,2.0,1.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,1.0,1.0,1.0,,0.0,1.0,,1.0,,,,,1.0,1.0
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0
