game_id,date,season,week,league,away,home,assist_tackles,def_int,def_lg,def_solo,def_tot,def_yds,int_avg,int_long,int_tds,int_yards,interceptions_made,ret_num,sacks,solo_tackles,tackles
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,2.0,2.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,1.0,1.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,,3.0,3.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,1.0,4.0,4.0,4.0,4.0,,,,,,,,,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,,2.0,2.0,,,,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,4.0,4.0,,,,,,,,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,1.0,10.0,4.0,4.0,10.0,,,,,,,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,2.0,2.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,1.0,18.0,5.0,5.0,18.0,,,,,,,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,,1.0,1.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,2.0,2.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,6.0,6.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,,3.0,3.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,,3.0,3.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,3.0,3.0,,,,,,,,,,
