game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,sh_goals
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,9.0,17.0,1.0,8.0,10.0,1.0,1.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,6.0,14.0,1.0,4.0,7.0,,
