game_id,date,season,week,league,away,home,def_sack,def_solo,def_tot,def_ydsl,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,1.0,3.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_16_HAM@CGY,2018-06-16,2018,1,CFL,HAM,CGY,,,,,,,,,,,,,,27.0,3.0,71.0,,,,,,,,,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,,,,,,,,,,,,28.0,4.0,84.0,,,,,,,,,,,
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,,,,,,,,14.0,1.0,1.0,14.0,14.0,,,,1.0,4.0,,4.0,,,,,,,
FOOTBALL_CFL_2019_10_4_EDM@HAM,2019-10-04,2019,1,CFL,EDM,HAM,,,,,,,,,,,,,,,,,4.0,14.0,,37.0,,,,,,,
FOOTBALL_CFL_2019_6_13_SSK@HAM,2019-06-13,2019,1,CFL,SSK,HAM,,,,,,,,,-1.0,1.0,1.0,-1.0,-1.0,,,,3.0,1.0,,-6.0,,,,,,,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,,,,,,,13.0,2.0,2.0,14.0,24.0,,,,3.0,7.0,,16.0,,,,,,,
FOOTBALL_CFL_2019_9_20_HAM@EDM,2019-09-20,2019,1,CFL,HAM,EDM,,1.0,1.0,,,,,,7.0,1.0,3.0,7.0,7.0,,,,6.0,5.0,,19.0,,,,,,,
FOOTBALL_CFL_2019_9_2_TOR@HAM,2019-09-02,2019,1,CFL,TOR,HAM,,,,,,,,,11.0,3.0,3.0,24.0,28.0,,,,12.0,,1.0,77.0,,,,6.0,1.0,1.0,
SYNTHETIC_CFL_2022_W1_OTT,,2022,1,CFL,,,,,,,,0.0,2.0,1.0,,,,,,,,,,,,,0.0,12.0,,,,,
SYNTHETIC_CFL_2022_W7_OTT,2022-07-21,2022,7,CFL,MTL,OTT,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W8_OTT,2022-07-31,2022,8,CFL,OTT,TOR,,,,,,0.0,13.0,2.0,,,,,,,,,,,,,0.0,31.0,,,,,
SYNTHETIC_CFL_2022_W9_OTT,2022-08-05,2022,9,CFL,CGY,OTT,,,,,,0.0,3.0,1.0,,,,,,,,,,,,,0.0,30.0,,,,,
SYNTHETIC_CFL_2022_W11_OTT,2022-08-19,2022,11,CFL,EDM,OTT,,,,,,0.0,26.0,2.0,,,,,,,,,,,,,0.0,-3.0,,,,,
SYNTHETIC_CFL_2022_W17_OTT,2022-09-30,2022,17,CFL,OTT,BC,,,,,,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W19_OTT,2022-10-14,2022,19,CFL,MTL,OTT,,,,,,0.0,11.0,4.0,,,,,,,,,,,,,0.0,55.0,,,,,
SYNTHETIC_CFL_2022_W20_OTT,2022-10-21,2022,20,CFL,OTT,HAM,,,,,,,,,,,,,,,,,,,,,0.0,63.0,,,,,
SYNTHETIC_CFL_2023_W1_OTT,2023-06-10,2023,1,CFL,OTT,MTL,,,,,,0.0,6.0,1.0,,,,,,,,,,,,,0.0,4.0,,,,,
SYNTHETIC_CFL_2023_W2_OTT,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,
SYNTHETIC_CFL_2023_W4_OTT,2023-06-30,2023,4,CFL,EDM,OTT,,,,,,0.0,24.0,2.0,,,,,,,,,,,,,0.0,44.0,,,,,
SYNTHETIC_CFL_2023_W5_OTT,2023-07-08,2023,5,CFL,OTT,HAM,,,,,,,,,,,,,,,,,,,,,0.0,15.0,,,,,
SYNTHETIC_CFL_2023_W6_OTT,2023-07-15,2023,6,CFL,WPG,OTT,,,,,,,,,,,,,,,,,,,,,0.0,9.0,,,,,
SYNTHETIC_CFL_2023_W9_OTT,2023-08-06,2023,9,CFL,OTT,SSK,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,31.0,,,,,
SYNTHETIC_CFL_2023_W10_OTT,2023-08-13,2023,10,CFL,OTT,TOR,,,,,,1.0,11.0,1.0,,,,,,,,,,,,,0.0,3.0,,,,,
SYNTHETIC_CFL_2023_W11_OTT,2023-08-19,2023,11,CFL,MTL,OTT,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,35.0,0.0,,,,0.0
SYNTHETIC_CFL_2023_W12_OTT,2023-08-27,2023,12,CFL,OTT,EDM,,,,,0.0,0.0,10.0,1.0,,,,,,,,,,,,,,,0.0,,,,0.0
