game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,pass_att,pass_cmp,pass_lg,pass_yds,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_yds,rush_att,rush_lg,rush_yds,sacks,score_conv,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,,,,,,,,,24.0,3.0,5.0,,24.0,49.0,,,,,1.0,17.0,17.0,,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,,,,,,,28.0,9.0,12.0,,21.0,108.0,,,,,1.0,-8.0,-8.0,,1.0,,2.0,,
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,,,,,,,,11.0,3.0,5.0,,10.0,29.0,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,1.0,1.0,,,,,,,,,11.0,3.0,8.0,,7.0,22.0,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,,,,,,,,28.0,5.0,7.0,,10.0,79.0,10.0,1.0,,10.0,,,,,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,,,,,,11.0,3.0,3.0,,22.0,26.0,,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,,,,,,,,,15.0,5.0,8.0,,20.0,41.0,,,,,1.0,5.0,5.0,,,,,,
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,,,,,,,,,,26.0,3.0,4.0,,20.0,49.0,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,,,,,,,4.0,1.0,4.0,,4.0,4.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,,,,,,,,,,8.0,2.0,4.0,,3.0,13.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,,,,,,,,,33.0,4.0,4.0,,38.0,73.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,,,,,,,,,,11.0,3.0,4.0,,10.0,24.0,17.0,1.0,1.0,17.0,,,,,,,,,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,,,,,,,,,33.0,3.0,4.0,,25.0,48.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,,,,,,,,2.0,3.0,1.0,39.0,84.0,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,,,,,,10.0,3.0,3.0,1.0,6.0,18.0,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,,,,,,,,,,17.0,5.0,7.0,,13.0,45.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,1.0,1.0,,,,,,,,,18.0,7.0,9.0,,34.0,72.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,,,,,,,,,,26.0,3.0,6.0,,8.0,52.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,,,,,,,,,,39.0,5.0,6.0,,38.0,113.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,,,1.0,1.0,6.0,6.0,,,,17.0,6.0,7.0,,6.0,58.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,,,,,,,15.0,3.0,5.0,,15.0,30.0,,,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,,,,,,,,,,12.0,5.0,17.0,,34.0,55.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,,,,,,,,-5.0,1.0,1.0,,-5.0,-5.0,11.0,4.0,,26.0,,,,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,,,,,,,,,22.0,9.0,15.0,1.0,24.0,78.0,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,,,,,,,,,,,21.0,3.0,7.0,,6.0,32.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,,,,,,,,,12.0,3.0,5.0,,8.0,26.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,1.0,1.0,,,,,,,,,11.0,4.0,7.0,1.0,11.0,18.0,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,,,,,,,,,25.0,8.0,11.0,,63.0,121.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,,,,,,,,,19.0,3.0,3.0,,19.0,32.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,,,,,,,,,17.0,3.0,5.0,,21.0,47.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_16_MTL@TOR,2022-06-16,2022,1,CFL,MTL,TOR,,,,,,,,,,,37.0,2.0,2.0,,40.0,67.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,,,,,,,,,,,7.0,3.0,4.0,,11.0,16.0,,,,,,,,,,,,,
