game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rushing_tds,rushing_yards,sacks,tackles
FOOTBALL_CFL_2018_10_13_BC@CGY,2018-10-13,2018,1,CFL,BC,CGY,,,,,-1.0,1.0,1.0,-1.0,-1.0,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,,,,,1.0,,,,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,,,17.0,1.0,1.0,3.0,17.0,,,,
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,,,5.0,1.0,1.0,3.0,5.0,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,7.0,1.0,2.0,,7.0,,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,1.0,1.0,1.0,1.0,1.0,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,,,,29.0,1.0,1.0,26.0,29.0,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,7.0,1.0,1.0,7.0,7.0,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,,,,,,1.0,,,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,7.0,2.0,2.0,2.0,9.0,,,,
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,,,,,5.0,1.0,1.0,,5.0,,,,
6235,2022-07-21,2022,7,CFL,HAM,BC,,,,,,,,,,0.0,3.0,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,0.0,2.0,1.0,,,,,,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,0.0,5.0,1.0,,,,,,,,,
6288,2022-10-28,2022,21,CFL,BC,WPG,,0.0,20.0,2.0,,,,,,,,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,0.0,16.0,1.0,,,,,,0.0,-2.0,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,,0.0,12.0,1.0,,,,,,,,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,,0.0,3.0,1.0,,,,,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,,0.0,0.0,0.0,,,,,,,,,
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,,,,,,,,,,,1.0
10798144,2024-05-25,2024,2,CFL,BC,CGY,,0.0,5.0,1.0,,,,,,,,,
10798028,2024-06-27,2024,4,CFL,EDM,BC,,0.0,19.0,2.0,,,,,,1.0,17.0,,
10798035,2024-07-07,2024,5,CFL,BC,HAM,,,,,,,,,,0.0,14.0,,
10798043,2024-07-21,2024,7,CFL,BC,CGY,,0.0,12.0,1.0,,,,,,0.0,11.0,,
10798055,2024-08-11,2024,10,CFL,BC,EDM,,0.0,7.0,1.0,,,,,,1.0,13.0,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,,,,,,,,,,1.0,4.0,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,,,,,,,,,,2.0,3.0,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,,,,,,,,0.0,6.0,,
10798068,2024-09-06,2024,14,CFL,BC,MTL,,0.0,9.0,1.0,,,,,,1.0,33.0,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,,,,,,,,,,1.0,8.0,,
10798092,2024-10-19,2024,20,CFL,MTL,BC,,,,,,,,,,0.0,5.0,,
