game_id,date,season,week,league,away,home,1pt_conversion,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W7_PANTHERS,,2024,7,UFL,,,1.0,0.0,0.0,37.0,1.0,0.0
SYNTHETIC_UFL_2024_W8_PANTHERS,,2024,8,UFL,,,,0.0,1.0,82.0,0.0,13.0
