game_id,date,season,week,league,away,home,def_fr,def_sacks,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,28.0,12.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,11.0,7.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,9.0,6.0
