game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,,,,5.0,3.0,1.0,,,,1.0,47.0,,,,,,,,,,,7.0,24.0,1.0,45.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_26_CGY@WPG,2018-10-26,2018,1,CFL,CGY,WPG,,,,,,,,,,,,,,,,,,,,,,5.0,16.0,1.0,22.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,,,1.0,,,,,,,,,,,,,,,,,,4.0,11.0,,18.0,,,,,
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,,,2.0,,,,,,,,,,,,,,,,,,7.0,11.0,,41.0,,,,,
FOOTBALL_CFL_2018_11_18_WPG@CGY,2018-11-18,2018,1,CFL,WPG,CGY,,,,1.0,,,,,,,,,,,,,,,,,,2.0,3.0,,4.0,,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,,15.0,9.0,,,3.0,1.0,1.0,190.0,,,,,,,,,,,10.0,,1.0,76.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,,,28.0,15.0,2.0,37.0,9.0,2.0,3.0,178.0,,,,,,,,,,,7.0,12.0,,30.0,,,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,,28.0,22.0,,39.0,,,3.0,246.0,,,,,,,,,,,10.0,28.0,1.0,98.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,,,30.0,17.0,,15.0,7.0,2.0,,146.0,,,,,,,,,,,5.0,16.0,1.0,55.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,,,,,,3.0,1.0,,,,,,,,,,,,,5.0,7.0,,12.0,,,,,
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,,,,1.0,1.0,,11.0,,,,11.0,,,,,,10.0,1.0,1.0,6.0,10.0,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,,,5.0,3.0,,24.0,,,,45.0,,,,,,,,,,,5.0,26.0,2.0,33.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,4.0,,,,,
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,,,5.0,4.0,,12.0,,,,36.0,,,,,,,,,,,1.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2018_8_25_WPG@CGY,2018-08-25,2018,1,CFL,WPG,CGY,,,,1.0,1.0,,,,,1.0,65.0,,,,,,,,,,,5.0,16.0,,29.0,,,,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,4.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,4.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,,,1.0,1.0,,,,,1.0,10.0,,,,,,,,,,,2.0,2.0,,3.0,,,,,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,,,,20.0,10.0,2.0,40.0,10.0,3.0,1.0,160.0,,,,,,,,,,,1.0,,1.0,1.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,,25.0,15.0,2.0,35.0,,,1.0,174.0,,,,,,,,,,,9.0,13.0,,64.0,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,27.0,18.0,2.0,,4.0,1.0,1.0,134.0,,,,,,,,,,,15.0,13.0,,85.0,,,,,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,,,,40.0,26.0,2.0,50.0,22.0,3.0,,254.0,,,,,,,,,,,12.0,8.0,,48.0,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,,,,,,,,,,,,,,,,,13.0,,1.0,82.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,,,1.0,,,,4.0,2.0,,,,,,,,,,,,,4.0,5.0,,10.0,,,,,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,,,3.0,3.0,,,,,1.0,39.0,,,,,,13.0,1.0,1.0,13.0,13.0,9.0,5.0,,30.0,,,,,
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,1.0,14.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,,3.0,2.0,1.0,20.0,6.0,1.0,,30.0,,,,,,,,,,,4.0,,1.0,37.0,,,6.0,1.0,1.0
