game_id,date,season,week,league,away,home,fumbles_lost,receiving_tds,receiving_yards,receptions
11824050,2025-06-13,2025,2,CFL,MTL,OTT,1.0,1.0,37.0,4.0
11824068,2025-07-17,2025,7,CFL,TOR,MTL,,,5.0,1.0
