game_id,date,season,week,league,away,home,def_solo,def_tot,lost_fumbles,rushing_tds,rushing_yards
FOOTBALL_CFL_2019_10_11_OTT@TOR,2019-10-11,2019,1,CFL,OTT,TOR,6.0,6.0,,,
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,1.0,1.0,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,1.0,1.0,,,
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,7.0,7.0,,,
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,7.0,7.0,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,5.0,5.0,,,
FOOTBALL_CFL_2019_8_17_HAM@OTT,2019-08-17,2019,1,CFL,HAM,OTT,4.0,4.0,,,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,7.0,7.0,,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,2.0,2.0,,,
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,8.0,8.0,,,
FOOTBALL_CFL_2019_9_28_EDM@OTT,2019-09-28,2019,1,CFL,EDM,OTT,5.0,5.0,,,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,1.0,1.0,,,
SYNTHETIC_USFL_2022_W4_NO,,2022,4,USFL,,,,,0.0,,
SYNTHETIC_USFL_2022_W5_NO,,2022,5,USFL,,,,,,0.0,43.0
SYNTHETIC_USFL_2022_W8_NO,,2022,8,USFL,,,,,0.0,,
SYNTHETIC_USFL_2022_W9_NO,,2022,9,USFL,,,,,0.0,,
