game_id,date,season,week,league,away,home,1pt_conversion,4pt_fg,conversions,extra_point,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
1-defenders-seadragons,2023-02-19,2023,1,XFL,SEA DRAGONS,DEFENDERS,,,1.0,,,,,,,,,,,,
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,,,,0.0,,0.0,,,,,,
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,,,1.0,,,,93.0,,,,2.0,23.0
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,1.0,,1.0,,47.0,,2.0,0.0,,93.0,,,,1.0,100.0
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,,2.0,,76.0,,1.0,0.0,2.0,210.0,,,,1.0,31.0
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,0.0,,1.0,,104.0,,,1.0,1.0,215.0,,,,2.0,97.0
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,,,,,,,90.0,,,,1.0,32.0
SYNTHETIC_XFL_2023_W5_DEFENDERS,2023-03-18,2023,5,XFL,BATTLEHAWKS,DEFENDERS,0.0,,2.0,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,,,,,,2.0,249.0,,,,,
SYNTHETIC_XFL_2023_W6_DEFENDERS,2023-03-27,2023,6,XFL,DEFENDERS,ROUGHNECKS,0.0,,2.0,,116.0,,,1.0,,,,,,,
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,,,,,,4.0,297.0,,,,,43.0
SYNTHETIC_XFL_2023_W7_DEFENDERS,2023-04-01,2023,7,XFL,GUARDIANS,DEFENDERS,0.0,,3.0,,,,,2.0,,,,,,,
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,,,,,,2.0,,4.0,247.0,,,,,12.0
SYNTHETIC_XFL_2023_W8_DEFENDERS,2023-04-09,2023,8,XFL,SEA DRAGONS,DEFENDERS,0.0,,1.0,,,,,,,,,,,,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,,,2.0,,,3.0,264.0,,,,,23.0
SYNTHETIC_XFL_2023_W9_DEFENDERS,2023-04-16,2023,9,XFL,DEFENDERS,RENEGADES,0.0,,2.0,,,,,,,,,,,,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,,,1.0,,,2.0,304.0,,,,1.0,46.0
SYNTHETIC_XFL_2023_W10_DEFENDERS,2023-04-22,2023,10,XFL,BRAHMAS,DEFENDERS,1.0,,2.0,,70.0,,,0.0,,,,,,,
3,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,,,,,160.0,1.0,,,0.0,235.0,,,,0.0,10.0
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,,1.0,,43.0,1.0,,,2.0,212.0,,,,0.0,17.0
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,,1.0,,161.0,0.0,,,2.0,188.0,,,,0.0,53.0
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,,,62.0,0.0,,,2.0,161.0,,,,0.0,24.0
