game_id,date,season,week,league,away,home,def_fr,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,8.5,58.0,11.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,8.0,47.0,10.0
