game_id,date,season,week,league,away,home,assist_tackles,int_avg,int_long,int_tds,int_yards,interceptions_made,receiving_tds,receiving_yards,receptions,solo_tackles,targets
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,,,,,,,0.0,19.0,2.0,,4.0
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,,,,,,,0.0,10.0,2.0,,7.0
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,,,,,,,0.0,0.0,0.0,,2.0
FOOTBALL_AAF_2019_3_2_ORL@SL,2019-03-02,2019,4,AAF,ORL,SL,,,,,,,0.0,43.0,2.0,,3.0
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,,,,,,,0.0,47.0,2.0,,5.0
FOOTBALL_AAF_2019_3_16_MEM@SL,2019-03-16,2019,6,AAF,MEM,SL,,,,,,,0.0,51.0,4.0,,8.0
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,3.0
FOOTBALL_AAF_2019_3_30_SD@SL,2019-03-30,2019,8,AAF,SD,SL,,,,,,,0.0,22.0,3.0,,5.0
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,,,,,,,,10.0,1.0,,1.0
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,,,,,,,,16.0,2.0,,1.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,,,,,,,,6.0,1.0,,
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,,,,,,,,30.0,3.0,,1.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,,,,,,,,15.0,1.0,,1.0
