game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,,,,14.0,4.0,4.0,57.0,14.0,2.0,2.0
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,,,,,,,,,16.0,6.0,5.0,38.0,16.0,1.0,1.0
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,,,72.0,3.0,3.0,63.0,205.0,11.0,3.0,3.0,40.0,11.0,2.0,2.0
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,,,,,12.0,4.0,4.0,42.0,12.0,1.0,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,73.0,2.0,2.0,76.0,133.0,9.0,3.0,3.0,47.0,9.0,,
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,,,,,,,,,6.0,1.0,1.0,28.0,6.0,3.0,3.0
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,,,,,,,6.0,3.0,2.0,23.0,6.0,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,,,,,6.0,1.0,1.0,30.0,6.0,3.0,3.0
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,,,,,,14.0,4.0,4.0,46.0,14.0,2.0,2.0
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,,,,,10.0,3.0,2.0,51.0,9.0,3.0,3.0
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,,,,,,,,,14.0,5.0,4.0,58.0,13.0,1.0,1.0
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,,,,,,,13.0,4.0,4.0,28.0,13.0,1.0,1.0
FOOTBALL_CFL_2022_9_17_WPG@HAM,2022-09-17,2022,1,CFL,WPG,HAM,,,,,,,,,12.0,2.0,2.0,52.0,12.0,6.0,6.0
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,,,,10.0,3.0,3.0,38.0,10.0,1.0,1.0
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,,,,,,,,,1.0,,,,1.0,1.0,1.0
6233,2022-07-16,2022,6,CFL,OTT,HAM,,28.0,0.0,,,,,,,,,,,,
6235,2022-07-21,2022,7,CFL,HAM,BC,,37.0,1.0,,,,,,,,,,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,30.0,0.0,,,,,,,,,,,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,,95.0,0.0,,,,,,,,,,,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,,147.0,0.0,,,,,,,,,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,64.0,1.0,,,,,,,,,,,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,,93.0,0.0,,,,,,,,,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,79.0,0.0,,,,,,,,,,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,140.0,0.0,,,,,,,,,,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,163.0,0.0,,,,,,,,,,,,
6284,2022-10-21,2022,20,CFL,OTT,HAM,,155.0,1.0,,,,,,,,,,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,1.0,31.0,,,,,,,,,,,,,
