game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,,6.0,7.0,1.0,5.0,96.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,13.0,3.0,8.0,,8.0,33.0,,,
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,23.0,7.0,11.0,,20.0,89.0,,,
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,18.0,7.0,10.0,1.0,27.0,71.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,9.0,1.0,5.0,,3.0,9.0,,,
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,5.0,1.0,1.0,,,5.0,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,,4.0,4.0,1.0,,37.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,,3.0,7.0,1.0,16.0,58.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,,5.0,5.0,1.0,23.0,139.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,35.0,9.0,11.0,2.0,29.0,183.0,2.0,12.0,2.0
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,1.0,1.0,44.0,7.0,10.0,,36.0,120.0,,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,,,,5.0,10.0,1.0,32.0,111.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,1.0,1.0,16.0,3.0,7.0,,,30.0,,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,20.0,5.0,7.0,1.0,15.0,64.0,1.0,6.0,1.0
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,5.0,1.0,1.0,,,5.0,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,28.0,4.0,6.0,,13.0,76.0,,,
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,,,6.0,9.0,1.0,12.0,84.0,1.0,6.0,1.0
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,1.0,1.0,16.0,3.0,5.0,,10.0,23.0,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,26.0,3.0,6.0,,24.0,70.0,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,,15.0,3.0,6.0,,1.0,34.0,,,
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,1.0,1.0,22.0,3.0,4.0,,3.0,52.0,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,9.0,2.0,2.0,,,18.0,,,
FOOTBALL_CFL_2018_9_15_CGY@HAM,2018-09-15,2018,1,CFL,CGY,HAM,1.0,1.0,13.0,3.0,8.0,,2.0,34.0,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,15.0,2.0,2.0,,9.0,22.0,,,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,,,1.0,,,,,,
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,20.0,3.0,3.0,,13.0,43.0,,,
