game_id,date,season,week,league,away,home,def_int,def_solo,def_tot,interceptions_made,sacks,tackles
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,5.0,5.0,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,4.0,4.0,,,
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,1.0,1.0,,,
FOOTBALL_CFL_2021_11_5_BC@HAM,2021-11-05,2021,1,CFL,BC,HAM,,5.0,5.0,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,1.0,2.0,2.0,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,3.0,3.0,,,
FOOTBALL_CFL_2021_8_28_BC@OTT,2021-08-28,2021,1,CFL,BC,OTT,,5.0,5.0,,,
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,1.0,1.0,,,
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,1.0,3.0,3.0,,,
9889283,2023-06-08,2023,1,CFL,BC,CGY,,,,,,2.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,,0.0,0.0,1.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,0.0,0.0,4.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,0.0,0.0,2.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,0.0,0.0,4.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,0.0,0.0,7.0
