game_id,date,season,week,league,away,home,gp,pass_att,punt_no,punt_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,8.0,,40.0,1613.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,12.0,,55.0,1974.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,1.0,32.0,1180.0
