game_id,date,season,week,league,away,home,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,kick_returns,kr_long,kr_yards,pr_fc,pr_long,pr_yards,punt_returns,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,targets
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,,,,,,
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,,,,,,,,,0.0,,,,,,,,,,
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,,,,,,,,,0.0,,,,,,,,,,
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,0.0,1.0,1.0,0.0,0.0,,,,1.0,,,,1.0,15.0,1.0,1.0,0.0,9.0,1.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,,,,,,,,,2.0,,,,,,,,,,
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,,,,,,6.0,21.0,113.0,,,,,,,,,,,
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,,,,,2.0,25.0,41.0,,9.0,18.0,2.0,,,,,,,
