game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,2.0,2.5,22.0,5.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,2.0,1.0,22.0,7.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,,1.0,0.5,65.0,11.0
