game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105180NYL,2021-05-18,2021,1,WNBA,MIN,NYL,,1.0,,,,,,,2.0,5.283333333333333,,7.0,,1.0,,
WNBA_202306300ATL,2023-06-30,2023,1,WNBA,WAS,ATL,,,,,,,,,1.0,0.85,,-2.0,,,,
WNBA_202307020DAL,2023-07-02,2023,1,WNBA,WAS,DAL,1.0,,,2.0,,,3.0,,2.0,8.75,,-2.0,,,1.0,
WNBA_202307070WAS,2023-07-07,2023,1,WNBA,IND,WAS,,1.0,,1.0,,0.667,3.0,2.0,1.0,9.95,,6.0,4.0,1.0,,
WNBA_202307090CON,2023-07-09,2023,1,WNBA,WAS,CON,,1.0,,,,1.0,2.0,2.0,1.0,12.75,1.0,-3.0,4.0,2.0,,
WNBA_202307110WAS,2023-07-11,2023,1,WNBA,SEA,WAS,,1.0,0.5,2.0,1.0,0.333,3.0,1.0,1.0,8.133333333333333,,-8.0,3.0,1.0,,1.0
WNBA_202307190WAS,2023-07-19,2023,1,WNBA,IND,WAS,,2.0,1.0,2.0,2.0,0.5,4.0,2.0,2.0,9.8,,-8.0,6.0,2.0,,1.0
WNBA_202307210WAS,2023-07-21,2023,1,WNBA,NYL,WAS,,,,,,,2.0,,,4.583333333333333,,-5.0,,,,
WNBA_202307230WAS,2023-07-23,2023,1,WNBA,PHO,WAS,,,,,,,1.0,,1.0,1.45,,-1.0,,,,1.0
WNBA_202307260MIN,2023-07-26,2023,1,WNBA,WAS,MIN,,,,,,,1.0,,,2.3833333333333333,1.0,3.0,,1.0,,
WNBA_202307280DAL,2023-07-28,2023,1,WNBA,WAS,DAL,3.0,,,1.0,,,3.0,,,5.116666666666666,1.0,1.0,,1.0,1.0,
WNBA_202307300ATL,2023-07-30,2023,1,WNBA,WAS,ATL,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8666666666666667,,-6.0,3.0,,,1.0
WNBA_202308060WAS,2023-08-06,2023,1,WNBA,LAS,WAS,,,,,,,,,,0.15,,,,,,
WNBA_202308080PHO,2023-08-08,2023,1,WNBA,WAS,PHO,,1.0,,1.0,,,1.0,,,3.1166666666666667,,-3.0,,1.0,,
WNBA_202308110LVA,2023-08-11,2023,1,WNBA,WAS,LVA,,,,1.0,,,2.0,,1.0,2.6833333333333336,,-7.0,,,,
