game_id,date,season,week,league,away,home,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,5.0,,32.0,12.0,3.0,47.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,2.0,11.0,,54.0,12.0,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,2.0,1.0,1.0,27.0,5.0,3.0,98.0,3.0,41.0
