game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,,5.0,5.0,1.0,60.0,106.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,47.0,6.0,8.0,,77.0,122.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,25.0,10.0,12.0,2.0,35.0,102.0,,,,,,,,2.0,12.0,2.0,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,46.0,6.0,7.0,,34.0,99.0,-2.0,1.0,-2.0,,,,1.0,,2.0,,,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,1.0,1.0,28.0,5.0,7.0,,17.0,46.0,,,,,,,1.0,,2.0,,,,
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,1.0,1.0,30.0,4.0,6.0,,31.0,71.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,,27.0,6.0,10.0,1.0,13.0,96.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,20.0,7.0,9.0,,24.0,79.0,,,,,,,1.0,,2.0,,1.0,1.0,1.0
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,1.0,1.0,15.0,2.0,3.0,1.0,15.0,24.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,34.0,6.0,6.0,,35.0,70.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,20.0,5.0,7.0,,17.0,49.0,,,,1.0,7.0,7.0,,,,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,,,28.0,5.0,7.0,1.0,23.0,55.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,20.0,4.0,4.0,,15.0,29.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,,7.0,9.0,1.0,71.0,120.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,,,3.0,3.0,1.0,11.0,41.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,,3.0,5.0,1.0,18.0,50.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,41.0,4.0,6.0,1.0,13.0,93.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,,,41.0,5.0,8.0,1.0,28.0,109.0,,,,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,9.0,5.0,5.0,,11.0,31.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,1.0,1.0,22.0,6.0,7.0,,20.0,60.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,13.0,3.0,4.0,,3.0,29.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_8_CGY@MTL,2018-10-08,2018,1,CFL,CGY,MTL,1.0,1.0,16.0,6.0,9.0,,15.0,56.0,,,,1.0,,,,,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,16.0,2.0,4.0,,11.0,22.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,54.0,3.0,5.0,,35.0,73.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,10.0,3.0,3.0,,17.0,23.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,12.0,2.0,3.0,,11.0,18.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,,,4.0,1.0,2.0,,4.0,4.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,10.0,2.0,7.0,,,13.0,,,,,,,1.0,,2.0,,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,4.0,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,27.0,5.0,5.0,,27.0,61.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,11.0,1.0,2.0,,,11.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,52.0,4.0,8.0,,20.0,75.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,1.0,1.0,50.0,3.0,5.0,,15.0,80.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,10.0,3.0,5.0,,3.0,15.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,15.0,2.0,7.0,,8.0,17.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,17.0,3.0,3.0,,6.0,39.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,,,24.0,3.0,4.0,1.0,3.0,46.0,,,,,,,,1.0,6.0,1.0,,,
