game_id,date,season,week,league,away,home,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,6.0,,68.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,7.0,11.0,1.0,155.0
