game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,,,10.0,2.0,49.0,2.0,2.0,31.0,,,18.0,1.0,173.0,156.0,7.0,1057.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,,3.0,12.0,,,1.0,,,5.0,69.0,18.0,2.0,180.0,242.0,9.0,1088.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,2.0,8.0,,,1.0,1.0,3.0,,,22.0,3.0,276.0,132.0,4.0,608.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,1.0,2.0,42.0,8.0,2.0,28.0,,,,1.0,6.0,1.0,,4.0,,,
