game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,1.0,,,1.0,,,2.0,2.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,2.0,2.0,13.0,1.0,3.0,2.0,20.0,3.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,6.0,1.0,7.0,2.0,35.0,-1.0,107.0,10.0
