game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,13.0,,,11.0,7.0,,2.0,,20.0,,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,21.0,,,15.0,18.0,,,,39.0,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,25.0,,,16.0,11.0,,4.0,,36.0,1.0,,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,47.0,,,18.0,37.0,,2.0,,84.0,19.0,5.0,2.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,2.0,2.0,2.0,,3.0,2.0,,2.0,,,,,2.0,2.0
