game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_tds,kr_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
FOOTBALL_AF1_2026_5_9_T602555G1168217@T606163,2026-05-09,2026,5,AF1,Minnesota Monsters,Michigan Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11.0,30.0,0.0,0.0,1.0,56.0,5.0,,12.0,13.0,0.0,2.0,0.0,0.0,24.0,0.0,1.0
FOOTBALL_AF1_2026_5_22_T584637G1168386@T602555,2026-05-22,2026,7,AF1,Nashville Kats,Minnesota Monsters,,,,,,,,,2.0,7.0,0.0,14.0,11.0,16.0,0.0,0.0,0.0,43.0,4.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,-3.0,,
